attrInteger,attrInteger,attrInteger,attrInteger
1981898,471,198189800,1981899
795743,549,79574300,795744
975055,794,97505500,975056
774238,798,77423800,774239
1403557,507,140355700,1403558
1405107,988,140510700,1405108
816941,592,81694100,816942
996465,801,99646500,996466
131628,874,13162800,131629
976021,711,97602100,976022
1748658,676,174865800,1748659
483836,339,48383600,483837
1737196,353,173719600,1737197
1627116,360,162711600,1627117
447630,892,44763000,447631
1081421,838,108142100,1081422
534379,953,53437900,534380
1699209,328,169920900,1699210
1173994,556,117399400,1173995
231898,673,23189800,231899
467898,792,46789800,467899
1902939,911,190293900,1902940
1517211,143,151721100,1517212
1321131,491,132113100,1321132
1218661,571,121866100,1218662
1299380,170,129938000,1299381
1831422,469,183142200,1831423
1292400,734,129240000,1292401
980767,543,98076700,980768
1352971,480,135297100,1352972
1623686,418,162368600,1623687
1497017,646,149701700,1497018
438113,108,43811300,438114
487900,900,48790000,487901
1858125,543,185812500,1858126
1666835,643,166683500,1666836
1062304,709,106230400,1062305
677066,519,67706600,677067
1202052,911,120205200,1202053
1569867,647,156986700,1569868
844237,500,84423700,844238
1673614,135,167361400,1673604
570921,223,57092100,570922
1245562,924,124556200,1245563
1169454,257,116945400,1169455
1632597,696,163259700,1632598
1211543,923,121154300,1211544
1579492,755,157949200,1579493
1776240,391,177624000,1776241
1543620,950,154362000,1543621
732759,239,73275900,732760
562554,616,56255400,562555
1829648,694,182964800,1829649
221575,342,22157500,221576
1273726,434,127372600,1273727
1917494,91,191749400,1917495
1930501,139,193050100,1930502
92386,205,9238600,92387
1012289,297,101228900,1012290
588694,553,58869400,588695
222425,185,22242500,222426
1693503,206,169350300,1693504
1487478,334,148747800,1487479
1458203,508,145820300,1458204
1680852,481,168085200,1680853
1686140,552,168614000,1686141
1563254,653,156325400,1563255
133992,668,13399200,133993
552475,660,55247500,552476
193373,796,19337300,193374
830512,108,83051200,830513
715772,418,71577200,715773
932668,111,93266800,932669
1172930,594,117293000,1172931
356516,535,35651600,356517
1996507,5,199650700,1996508
439026,100,43902600,439027
659765,369,65976500,659766
436429,473,43642900,436430
1857324,544,185732400,1857325
598594,394,59859400,598595
893992,171,89399200,893993
517215,746,51721500,517216
201554,808,20155400,201555
317475,821,31747500,317476
1130151,270,113015100,1130152
1846954,881,184695400,1846955
327796,238,32779600,327797
1806194,708,180619400,1806195
1713185,846,171318500,1713186
1117862,667,111786200,1117863
1348881,823,134888100,1348882
1669078,162,166907800,1669079
552745,551,55274500,552746
424211,214,42421100,424212
986643,970,98664300,986644
1293659,625,129365900,1293660
1428077,299,142807700,1428078
1701668,716,170166800,1701669
1734858,269,173485800,1734859
455919,815,45591900,455920
1152999,899,115299900,1153000
1227572,399,122757200,1227573
1398948,501,139894800,1398949
697138,722,69713800,697139
1003092,447,100309200,1003093
648832,754,64883200,648833
1718199,41,171819900,1718200
1028476,878,102847600,1028477
160077,555,16007700,160078
116466,956,11646600,116467
993103,796,99310300,993104
1615499,240,161549900,1615500
403626,59,40362600,403627
378369,455,37836900,378370
1743816,128,174381600,1743817
632243,541,63224300,632244
1344865,981,134486500,1344866
140739,891,14073900,140740
613242,767,61324200,613243
1424093,820,142409300,1424094
1862611,352,186261100,1862612
1347811,379,134781100,1347801
846380,719,84638000,846381
1782601,26,178260100,1782602
717034,165,71703400,717035
431199,657,43119900,431200
506958,285,50695800,506959
1776734,759,177673400,1776735
334042,255,33404200,334043
1084924,177,108492400,1084925
574502,383,57450200,574503
344181,74,34418100,344171
946386,369,94638600,946387
681272,307,68127200,681273
1819708,610,181970800,1819709
112277,402,11227700,112278
1500380,926,150038000,1500381
878902,734,87890200,878903
847210,790,84721000,847211
491723,89,49172300,491724
1373721,532,137372100,1373722
473858,855,47385800,473859
1800301,184,180030100,1800302
53296,352,5329600,53297
1236669,726,123666900,1236670
1261797,960,126179700,1261798
133768,533,13376800,133769
987524,200,98752400,987525
18775,55,1877500,18776
1758816,294,175881600,1758817
642867,57,64286700,642868
1138759,449,113875900,1138760
629483,970,62948300,629484
1536953,971,153695300,1536954
594684,200,59468400,594685
903326,26,90332600,903327
329688,583,32968800,329689
1901765,555,190176500,1901766
1004786,571,100478600,1004787
648037,188,64803700,648038
1323668,343,132366800,1323669
127546,90,12754600,127547
1071001,746,107100100,1071002
1863234,275,186323400,1863235
1764107,413,176410700,1764108
659972,689,65997200,659973
707064,875,70706400,707065
98942,119,9894200,98932
187907,258,18790700,187908
1454462,708,145446200,1454463
1426894,209,142689400,1426895
698104,894,69810400,698105
1459421,608,145942100,1459422
975095,112,97509500,975096
180385,680,18038500,180386
235577,520,23557700,235578
899784,435,89978400,899785
13670,482,1367000,13671
175185,199,17518500,175186
1878992,286,187899200,1878993
1990753,346,199075300,1990754
479833,672,47983300,479834
1152683,969,115268300,1152684
1892144,303,189214400,1892145
376732,797,37673200,376733
551652,408,55165200,551653
1815998,860,181599800,1815999
821178,709,82117800,821179
51508,698,5150800,51509
146708,255,14670800,146709
1409892,660,140989200,1409893
1650745,870,165074500,1650746
2802,233,280200,2803
1980893,493,198089300,1980883
9800,832,980000,9801
1751386,745,175138600,1751387
99110,657,9911000,99111
1065987,686,106598700,1065988
589538,645,58953800,589539
324516,195,32451600,324517
1444309,312,144430900,1444310
1859082,811,185908200,1859083
1138993,569,113899300,1138994
504525,902,50452500,504526
361685,246,36168500,361686
66742,514,6674200,66743
762521,982,76252100,762522
1364607,701,136460700,1364608
1433687,508,143368700,1433688
1618169,317,161816900,1618159
889769,75,88976900,889770
151959,537,15195900,151960
1737910,578,173791000,1737911
1713300,913,171330000,1713301
1632676,27,163267600,1632677
592933,55,59293300,592934
684949,957,68494900,684939
1617978,382,161797800,1617979
307730,342,30773000,307731
